"Player Overview"
"Player","Total attacks","Unused attacks","Total stars","Avg star per attack"
"tom","2","4","3","1.5"
"Arnold","28","0","71","2.5"
"Alpha_Wolf","30","0","62","2.1"
"Chris14","27","1","42","1.6"
"Arif_BURHAN","11","7","26","2.4"
"Bojovic1211","0","0","0","0"
"Adam","16","11","32","2.0"
"rhino0117","29","0","64","2.2"
"chief_steve","25","1","58","2.3"
"chief_stephen","16","0","40","2.5"
"BigBlueAircraft","7","6","12","1.7"
"Artizas","10","1","27","2.7"
"cafrsggh","9","4","25","2.8"
"Guru","22","5","36","1.6"
"Z.Z","25","0","62","2.5"
"La_Chupacabra","0","2","0","0"
"FUT21News","0","0","0","0"
"Aryan_n._Mhatr","0","6","0","0"
"BlackStallion97","9","5","23","2.6"
"Goldencode","5","6","10","2.0"
"Jamesy_Boii","16","8","33","2.1"
"Space_Jesus","25","0","61","2.4"
"LittleAlchemist","9","4","15","1.7"
"WILLY$$","2","1","6","3.0"
"Sogan","0","4","0","0"
"Pedro_R.","18","4","41","2.3"
"Fe4RLess","0","7","0","0"
"quirky","18","1","47","2.6"
"Wavyboytrell","0","1","0","0"
"Dylan","1","8","3","3.0"
"supersmash","0","1","0","0"
"IRAN","1","9","3","3.0"
"Juslikepie","0","14","0","0"
"GotrekTheGreat","17","0","25","1.5"
"CerMaC","9","6","25","2.8"
"ZZ.mini","10","0","27","2.7"
"RayOut","10","4","26","2.6"
"trrravesty","17","0","41","2.4"
"seanh","14","0","21","1.5"
"HIRO","0","2","0","0"
"cafrsghh_3","0","2","0","0"
"xanderthegreat","14","0","33","2.4"
"Darth_Zecheriah","12","0","23","1.9"
"nic","2","5","1","0.5"
"dieselproud","5","0","15","3.0"
"Teeej23","2","2","4","2.0"
"Pancakes21","0","2","0","0"
"
"
"Clan Overview"
"Total attacks","473"
"Total unused attacks","144"
"Total stars","1043"
"
"
"Target town hall","3 stars","2 stars","1 star","0 star","Total attacks"
"t10","44","57","46","10","157"
"t11","20","15","14","1","50"
"t12","8","3","0","1","12"
"t13","3","1","0","0","4"
"t3","1","0","0","0","1"
"t4","1","0","0","0","1"
"t5","5","0","0","0","5"
"t6","3","0","0","0","3"
"t7","19","0","1","0","20"
"t8","67","12","8","2","89"
"t9","68","28","25","10","131"
