"Sorted by Player"
"Player","Upgrade/Trophy pushing events"
"Adam","22"
"Alpha Wolf","27"
"Arif BURHAN","4"
"Arnold","23"
"Artizas","15"
"Aryan n. Mhatr","1"
"BigBlueAircraft","5"
"BlackStallion97","7"
"CerMaC","7"
"Chris14","13"
"Darth Zecheriah","9"
"Dylan","8"
"DylanLCP","1"
"Goldencode","9"
"GotrekTheGreat","10"
"Guru","37"
"HIRO","2"
"HyperZ3","4"
"IRAN","1"
"Jamesy Boii","10"
"LittleAlchemist","16"
"Nevin","3"
"Pedro R.","16"
"RayOut","8"
"Space Jesus","18"
"Teeej23","7"
"WILLY$$","1"
"Wavyboytrell","2"
"Z.Z","25"
"ZZ.mini","30"
"cafrsggh","3"
"cafrsghh 3","3"
"chief stephen","13"
"chief steve","36"
"dieselproud","1"
"kyndawg","28"
"quirky","21"
"rhino0117","22"
"seanh","9"
"tom","6"
"trrravesty","15"
"xanderthegreat","6"
"your grandpa","14"
"
"
"Sorted by Stats"
"Player","Upgrade/Trophy pushing events"
"Guru","37"
"chief steve","36"
"ZZ.mini","30"
"kyndawg","28"
"Alpha Wolf","27"
"Z.Z","25"
"Arnold","23"
"rhino0117","22"
"Adam","22"
"quirky","21"
"Space Jesus","18"
"LittleAlchemist","16"
"Pedro R.","16"
"Artizas","15"
"trrravesty","15"
"your grandpa","14"
"chief stephen","13"
"Chris14","13"
"Jamesy Boii","10"
"GotrekTheGreat","10"
"Goldencode","9"
"Darth Zecheriah","9"
"seanh","9"
"Dylan","8"
"RayOut","8"
"BlackStallion97","7"
"CerMaC","7"
"Teeej23","7"
"tom","6"
"xanderthegreat","6"
"BigBlueAircraft","5"
"HyperZ3","4"
"Arif BURHAN","4"
"cafrsghh 3","3"
"Nevin","3"
"cafrsggh","3"
"HIRO","2"
"Wavyboytrell","2"
"IRAN","1"
"DylanLCP","1"
"WILLY$$","1"
"Aryan n. Mhatr","1"
"dieselproud","1"
